turn,causal_score_effect_pts,critic_value_delta
222,-6.250000,-0.839947
375,-50.000000,-0.582613
250,-50.000000,-0.697044
383,-25.000000,-1.054593
321,50.000000,-0.477514
317,-31.250000,-0.621967
384,-31.250000,-0.905316
283,6.250000,-1.019569
349,-50.000000,-0.986964
323,-3.125000,-0.293314
333,-21.875000,-0.791048
338,-37.500000,-1.386597
241,34.375000,-0.745291
279,-37.500000,-1.058031
372,75.000000,-0.297850
237,-6.250000,-0.375287
233,-87.500000,-1.233393
315,43.750000,-0.216705
333,0.000000,-0.677870
290,0.000000,-0.255334
328,-71.875000,-1.194403
328,15.625000,-0.551945
290,0.000000,-0.505822
380,6.250000,-0.557634
286,-12.500000,-0.748963
271,-12.500000,-0.691935
331,-28.125000,-0.488599
383,-25.000000,-0.576825
328,0.000000,-0.698698
372,93.750000,-0.294587
215,6.250000,-0.550701
333,-68.750000,-0.688320
297,0.000000,-0.094242
329,-25.000000,-0.517554
373,-28.125000,-1.007995
395,-12.500000,-0.514397
241,0.000000,-1.091121
264,-31.250000,-1.170648
338,3.125000,-0.348724
324,31.250000,-0.421503
289,0.000000,-0.407839
368,59.375000,-0.580404
398,-68.750000,-0.751867
227,18.750000,-0.652407
391,18.750000,-0.083080
239,-53.125000,-1.103918
229,37.500000,-0.555749
389,-46.875000,-1.083820
238,-46.875000,-0.679459
287,-59.375000,-0.748012
242,6.250000,-0.357657
375,-25.000000,-0.778972
279,-12.500000,-0.462400
342,9.375000,-0.979356
281,43.750000,-0.535829
283,37.500000,-0.581975
245,-3.125000,-0.713716
317,31.250000,-1.145077
388,3.125000,-1.118543
283,-37.500000,-0.819262
228,0.000000,-0.337150
318,-31.250000,-1.118989
222,9.375000,-0.743335
286,0.000000,-0.192499
339,-100.000000,-1.424509
318,37.500000,-0.552392
274,0.000000,-0.252637
216,25.000000,-0.357106
329,3.125000,-0.504340
386,0.000000,-0.088450
220,0.000000,-0.502836
291,0.000000,-0.441378
337,-31.250000,-1.093163
367,6.250000,-0.167318
273,-18.750000,-0.712021
336,-62.500000,-0.832029
284,25.000000,-0.917760
219,18.750000,-0.886335
297,12.500000,-0.873210
228,-31.250000,-0.736971
277,31.250000,-0.697274
289,31.250000,-0.901108
325,-15.625000,-0.618535
289,-18.750000,-0.650761
291,59.375000,-0.463107
321,31.250000,-0.373929
229,25.000000,-0.376040
243,46.875000,-0.340640
295,-6.250000,-1.189090
229,-9.375000,-0.704325
223,50.000000,-0.737256
311,-9.375000,-0.575319
326,-25.000000,-0.875478
331,0.000000,-0.191449
228,18.750000,-0.428754
243,6.250000,-0.053863
290,-25.000000,-1.256661
276,-12.500000,-0.789893
372,-68.750000,-0.724098
331,-31.250000,-0.722790
309,-9.375000,-0.750662
332,0.000000,-1.004140
351,-6.250000,-0.437898
337,-93.750000,-1.412924
363,37.500000,-0.503907
375,-12.500000,-0.241872
241,-50.000000,-0.540664
347,-100.000000,-0.735193
395,0.000000,-0.344907
367,81.250000,-0.349475
327,-43.750000,-1.046138
367,0.000000,-0.804448
282,-18.750000,-0.880068
255,-18.750000,-0.357462
235,-37.500000,-0.964035
262,-3.125000,-0.237988
229,12.500000,-0.436891
295,12.500000,-0.080372
217,-37.500000,-0.713932
340,-6.250000,-0.337084
388,0.000000,-0.072877
344,-62.500000,-0.548829
229,-6.250000,-0.475414
385,-40.625000,-1.107681
242,-6.250000,-0.866591
379,-18.750000,-0.734315
305,0.000000,-0.656749
380,34.375000,-0.553763
274,-100.000000,-1.484239
272,18.750000,-0.776418
371,34.375000,-0.121753
232,43.750000,-0.281533
340,-12.500000,-0.657514
280,62.500000,-0.299486
599,-6.250000,-0.053170
579,6.250000,-0.327569
422,0.000000,-0.850127
523,0.000000,-0.825468
465,0.000000,-0.079231
537,-12.500000,-0.680498
527,-81.250000,-0.335953
437,21.875000,-0.681471
487,0.000000,-0.071977
545,0.000000,-0.079415
475,-6.250000,-0.175927
410,6.250000,-0.105576
497,25.000000,-0.174349
572,0.000000,-0.066122
595,0.000000,-0.038639
478,-12.500000,-1.424116
424,50.000000,-0.621709
480,-18.750000,-0.496982
405,-71.875000,-0.984826
426,18.750000,-0.548678
521,0.000000,-0.120723
424,-12.500000,-0.810262
569,-15.625000,-0.509365
524,-6.250000,-0.940259
562,-12.500000,-0.587910
491,-68.750000,-0.832744
482,0.000000,-0.316080
430,-18.750000,-0.845639
478,-34.375000,-0.481821
485,0.000000,-0.121114
470,-46.875000,-1.125258
532,-75.000000,-0.620493
510,0.000000,-0.844178
584,0.000000,-0.018825
472,0.000000,-0.277120
429,0.000000,-0.688186
449,-12.500000,-0.514436
483,3.125000,-0.906997
457,-3.125000,-0.782285
507,6.250000,-0.478554
518,-18.750000,-1.289811
473,-18.750000,-1.262849
459,-62.500000,-0.676567
486,0.000000,-0.385038
473,6.250000,-0.225370
424,-18.750000,-0.632548
531,0.000000,-0.009005
590,-12.500000,-0.747509
541,-71.875000,-0.500617
496,-6.250000,-0.439938
532,-31.250000,-0.200267
409,56.250000,-0.589086
485,0.000000,-0.012904
533,0.000000,-0.535995
440,-62.500000,-1.006317
471,-18.750000,-0.478976
569,0.000000,-0.020474
417,-37.500000,-0.739588
530,6.250000,-0.125752
432,-37.500000,-0.513286
541,-40.625000,-0.761824
584,0.000000,-0.249930
527,6.250000,-1.367604
534,34.375000,-0.702973
481,-50.000000,-0.566971
461,0.000000,-0.074740
583,-6.250000,-0.043642
459,-9.375000,-1.037952
532,-15.625000,-0.435288
594,0.000000,-0.045438
534,-18.750000,-0.494259
536,-15.625000,-0.166495
587,-6.250000,-0.341400
568,71.875000,-0.452812
571,3.125000,-0.880302
529,0.000000,-0.082136
521,3.125000,-0.604823
416,-25.000000,-1.113917
484,-25.000000,-1.083531
540,-62.500000,-0.826614
462,3.125000,-0.164440
525,-21.875000,-0.657538
466,0.000000,-0.221831
513,25.000000,-0.323996
595,0.000000,-0.086489
567,6.250000,-0.132442
545,21.875000,-0.390876
540,0.000000,-0.782660
473,25.000000,-0.871317
479,-18.750000,-0.559255
492,-31.250000,-0.938539
528,-25.000000,-0.361711
486,25.000000,-0.130301
487,0.000000,-0.867943
551,12.500000,-0.076856
538,31.250000,-0.089639
510,0.000000,-0.060503
438,12.500000,-0.195211
514,0.000000,-0.090491
424,6.250000,-0.428636
537,-65.625000,-1.145553
563,0.000000,-0.058837
580,-40.625000,-0.762657
596,9.375000,-0.261537
424,-25.000000,-0.586309
438,9.375000,-0.437043
438,-100.000000,-1.480891
544,-53.125000,-0.639338
563,-6.250000,-0.412371
529,9.375000,-0.438465
433,-6.250000,-0.516426
446,15.625000,-0.351509
521,18.750000,-0.176002
400,25.000000,-0.243557
440,-75.000000,-1.300401
410,6.250000,-0.380160
531,-18.750000,-0.699033
475,-3.125000,-0.142224
486,15.625000,-0.089689
563,9.375000,-0.358655
424,-9.375000,-0.547956
485,-6.250000,-0.784935
539,12.500000,-0.390889
469,28.125000,-0.122942
467,18.750000,-0.121859
516,6.250000,-0.520454
447,0.000000,-0.037084
412,-62.500000,-0.878315
431,-78.125000,-0.455625
441,6.250000,-0.142001
493,-3.125000,-0.647228
478,-75.000000,-0.914884
475,-3.125000,-0.211719
571,-28.125000,-0.719669
573,-6.250000,-0.272129
424,-68.750000,-0.673349
511,78.125000,-0.194852
403,6.250000,-0.739277
574,43.750000,-0.586567
513,0.000000,-0.395526
479,-12.500000,-0.923582
401,21.875000,-0.714298
474,-53.125000,-1.040982
596,-90.625000,-0.385120
521,40.625000,-0.045692
564,43.750000,-0.438436
523,-18.750000,-0.698263
472,-12.500000,-0.532700
428,12.500000,-0.095745
434,-6.250000,-0.212674
401,-3.125000,-0.438272
478,-46.875000,-0.543934
517,43.750000,-0.380790
550,18.750000,-0.725920
521,-31.250000,-0.503630
572,-37.500000,-0.229659
459,0.000000,-0.501238
588,-100.000000,-1.536135
425,-40.625000,-0.856578
541,-3.125000,-0.288371
507,37.500000,-0.691992
530,-3.125000,-0.772282
572,-96.875000,-0.914753
552,0.000000,-0.114548
523,3.125000,-0.345998
489,0.000000,-0.170402
467,25.000000,-0.733877
595,0.000000,-0.183659
445,0.000000,-0.236765
441,56.250000,-0.192499
535,-75.000000,-0.909064
595,46.875000,-0.115287
468,-6.250000,-0.544471
594,0.000000,-0.107312
444,31.250000,-0.379092
583,3.125000,-0.062984
533,-43.750000,-0.950877
486,0.000000,-0.045621
473,-28.125000,-1.057901
432,-37.500000,-0.486967
531,0.000000,-0.047331
489,-3.125000,-0.181803
573,-59.375000,-0.695154
420,-12.500000,-0.748766
489,-46.875000,-1.216502
420,-62.500000,-0.743065
597,12.500000,-0.040488
560,-6.250000,-0.450530
407,12.500000,-0.062009
432,15.625000,-0.697821
516,0.000000,-0.436234
418,0.000000,-0.048648
436,15.625000,-0.155983
430,-62.500000,-0.807331
535,-6.250000,-0.469192
484,15.625000,-0.453454
540,0.000000,-0.011136
445,28.125000,-0.317729
407,-37.500000,-0.551610
544,0.000000,-0.034711
